19:45:19 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - No existing WebDriver found for current thread. Initializing a new ChromeDriver...
19:45:19 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - WebDriverManager: chromedriver setup OK
19:45:20 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - ChromeDriver initialized successfully for thread: 36
19:45:21 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Opening amazon Landing page
19:45:21 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Within safeFindElement method
19:45:27 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19]Retrying findElement for: ->By.xpath: //a[@id='nav-logo-sprites']
19:45:29 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19]Refrehsing the page , while trying to safely find : ->By.xpath: //a[@id='nav-logo-sprites']
19:45:29 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //a[@id='nav-logo-sprites']]
19:45:30 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Giving input within the search bar
19:45:30 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Within safeClick method
19:45:32 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Clicked the  [[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //input[@id='nav-search-submit-button']]   using safeClick
19:45:32 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Clicking on the submit in the search bar
19:45:32 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Waiting until element is visible in viewport
19:45:32 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Within validateDeliveryFilterOptionsWithResult method
19:45:32 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Within safeClick method
19:45:35 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Clicked the  [[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It Today']]   using safeClick
19:45:35 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Within getMoreButtonByFilterTypeAndName method
19:45:35 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Clicked on By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It Today']
19:45:35 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Within safeFindElements 
19:45:35 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Returning the  [[[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (eafc03232107822315fe24e5331de01a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']]] from the safeFindElements method
19:45:35 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Created hashset with required data to assert with Within validateDeliveryFilterOptions method
19:45:35 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] this is the set  [Thu, Apr, Today, 16, FREE delivery, 17, Fri, Tomorrow]
19:45:35 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:45:35 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:45:35 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:45:35 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:45:35 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:45:35 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:45:35 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19 - [verifyingGetItByTodayFilterFunctionality_Mobile_19-45-19] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
