20:12:00 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - No existing WebDriver found for current thread. Initializing a new ChromeDriver...
20:12:00 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - WebDriverManager: chromedriver setup OK
20:12:03 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - ChromeDriver initialized successfully for thread: 36
20:12:04 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Opening amazon Landing page
20:12:04 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Within safeFindElement method
20:12:09 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00]Retrying findElement for: ->By.xpath: //a[@id='nav-logo-sprites']
20:12:09 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00]Refrehsing the page , while trying to safely find : ->By.xpath: //a[@id='nav-logo-sprites']
20:12:10 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //a[@id='nav-logo-sprites']]
20:12:11 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Giving input within the search bar
20:12:11 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Within safeClick method
20:12:14 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Clicked the  [[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //input[@id='nav-search-submit-button']]   using safeClick
20:12:14 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Clicking on the submit in the search bar
20:12:15 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Waiting until element is visible in viewport
20:12:15 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Within validateDeliveryFilterOptionsWithResult method
20:12:15 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Within safeClick method
20:12:16 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Clicked the  [[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It Today']]   using safeClick
20:12:16 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Within getMoreButtonByFilterTypeAndName method
20:12:16 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Clicked on By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It Today']
20:12:16 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Within safeFindElements 
20:12:17 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Returning the  [[[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (d3cb1aa70caa34eb512c816e7a47749a)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']]] from the safeFindElements method
20:12:17 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Created hashset with required data to assert with Within validateDeliveryFilterOptions method
20:12:17 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] this is the set  [Thu, Today, 14, May, 15, FREE delivery, Fri, Tomorrow]
20:12:17 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:12:17 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:12:17 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:12:17 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:12:17 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:12:17 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:12:17 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-12-00] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
